"dataset","invariance","rmsea","srmr","cfi","tli","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"YouGov","configural",0.354277217506113,0.0320921873242692,0.87510621122352,0.81265931683528,294,104871.050354013,108281.406061573,29935.7489047303,NA,NA,NA,NA
"YouGov","weak",0.33532844605164,0.132120510813545,0.842439193962023,0.832163489220416,414,112504.09822467,114986.465984595,37808.7967753874,7873.0478706571,0.28360284810958,120,0
"YouGov","strong",0.369393359960483,0.172850330926568,0.753381026340274,0.796331521752923,534,133520.776584903,135075.156397192,59065.4751356199,21256.6783602325,0.468266106803093,120,0
"ManyLabs COVID","configural",0.1704259090223,0.0192387727433471,0.979440622478397,0.938321867435191,106,828813.413561194,834395.304183318,2887.63873693623,NA,NA,NA,NA
"ManyLabs COVID","weak",0.132477725292788,0.0562721635047035,0.969294238376913,0.962731174823887,262,830030.197101302,834242.944740641,4416.42227704407,1528.7835401078,0.0986908572541986,156,8.47870529005143e-224
"ManyLabs COVID","strong",0.144161989819381,0.0746335045476229,0.941988956742632,0.955867196756356,418,833568.541885674,836412.146542228,8266.76706141615,3850.3447843721,0.161899162466688,156,0
"Hornsey","configural",0.109798225270719,0.0238954639059406,0.98009478812404,0.94028436437212,50,42994.9084160495,44858.2718245875,138.777808607424,NA,NA,NA,NA
"Hornsey","weak",0.0804005081634063,0.0551433613935924,0.97395744575121,0.967980466087553,122,42950.2811368188,44366.4373273076,238.150529376671,99.3727207692,0.0508066836356696,72,0.0180000137018687
"Hornsey","strong",0.0941492247294026,0.0734384992847283,0.943213985922343,0.956093288084286,194,43015.3978381945,43984.3468106343,447.267230752425,209.1167013758,0.113712194898928,72,2.68047829351757e-15
"PsyCorona","configural",0,0.000269165787011782,0.999979717453259,1,0,795851.442483776,798848.330443429,0.916894301157416,NA,NA,NA,NA
"PsyCorona","weak",0.104175275409857,0.0498976809442697,0.972038756711773,0.956893083263983,72,797042.543612045,799391.455796638,1336.01802257032,1335.1011282692,0.104137485187486,72,8.9647435157653e-232
"PsyCorona","strong",0.135894309521325,0.0766532010585321,0.904838845550481,0.926646610111829,144,800008.387743202,801709.324152735,4445.86215372739,3109.8441311571,0.161499345861945,72,0
